LJ0001|La bãsa fãa eb yẽgra ya boẽ, ya sikra sẽn na n yik ninsaal yĩngẽwa, n yɩɩd yĩnga sẽn n datã. Tõe ye yaasa be me n wilg bilfu, tɩ ninsaal waa rɩ.
LJ1412|La nimb wɩda ka tõe wẽnd woto ye. Tɩ zõngd tẽn-fãa ta ra yam. Nebã ka wẽn taab ye. Koɛɛgã be, yãmb wama m sokda sãoama. Dɩlle wilgda koɛɛg koɛya tɩ wẽnd yãmb n dɩk wala neb nins.
LJ1415|La, d-a rɩt-a dɩt tɩ yãmb zẽng n kɩlg a yir rãmba, bãng-b fãn-dãad, n wa yãke. Tɩ d tɩ fõng yet tɩ fo tĩyãka. Ka y d fõng wã yão wã bala tɩ taa... Fo kellada nin-buiidã....ked-a nin-buiidã na tɩ b yãk-a soaba. Yẽ yaa Amérika. Ka woto rẽ. Dɩl-buiidã tɩ Dɩmoklã sẽn n ma yiibã ka a yeemre. Ka yeemre. Lébg n tall wa tõnd neng wãme.
LJ1425|delete
LJ1426|delete
LJ1434|delete
LJ1439|A ka tʋmd sɩd ye. A ha n wa yẽned, a ha ka tar n zɩt nut b wa wa ne yell n ka sɩd mẽnga, a la be ta a yell la a reeg n zɩ. M kʋ ye, pakor zʋg wa. Ya zu-lɛɛg n tar ye. A na n gomame. Rẽnd tõnd n be zĩig ningẽ wã, tõnd n na n tar zĩig ningẽ wã, tõnd mɩnga burkĩ neng ka pidi.
LJ1445|A demokrasi wa, bãngda a yembr n zoe n yeele. Yẽs-yẽ, bala ma me hẽn karmã soaba pʋgẽ wã, la mam vĩig ta d zãp n ka ma-kãngã wã.
LJ1448|Baas yarda nam n waame.eb  Rɩk-a lame n sik tõnd wãb-bila, ta be tõnd zagsẽ wã, wãbr tõnd no-bi, wãbr tõnd kãan-bi, zʋʋr tõnd noog kɛla la b wãbr ne-ba.
LJ1458|Biigã n ka kẽ bõongo, nin-kẽemb paga gomd ta leoodẽ. Rũnda rũnnoa yãmb ne kom-bõoneg n ya yʋʋma ta yũumã naag n leood nin-kẽemb goama.
LJ1491|delete
LJ1496|delete
LJ1501|Baoosg yʋng ne octoobra pipi raran ne rãsm a yiiba yel-ning sẽn wawãn.

LJ5001|Yamb mɩm-ti eta ramba pʋsẽ, Logtoryir ramb n be be, ekol ramb n be be. Donc bamba faa tog n maaname.
LJ5002|Sẽn kẽng ekol damb n wa mib tog n mɩ tɩ yela kenda taoore, donc woto bal la tõnd baooda.
LJ5003|ministɛrã tara gom-kãnsã n dat n ges n tʋm tɩ y universités damba, b n gomd fãa b gomda retard goama.
LJ5004|Ratme n tʋm tɩ y retaar nambã la zĩnd ye. Tɩɩ etɩdiã f sãn wã.
LJ5005|n paam Bakã. Tɩ oktobr fo paam n kẽ inivɛrsɩte wã, n maan-kuuri, tɩ ka ne juillet wa fo paam maan fo année wã normalle tɩ yɛla fãa be be. Ya woto yĩnga la minisra yell tɩ tõnd waa, n wãn encourage...
LJ5006|Eske tõnd taoor dẽmba, ka tõnd gese, ya karong bog la b tõe n dik n maane.
LJ5007|Bãngrã b sẽn taasde ka-koaadba sẽn be Sabou commune wã centre-ouest t'a soogẽ wã.
LJ5008|A kẽeda neb sẽn date tɩ b bãnge b sẽn boonde tɩ pluviomètre a zãabo.
LJ5010|Tɩ tõnd pa tara vũʋrã zãmsgo, le b wa zãmsd ne tõndo, n kɩse. 
LJ5011|Pluviometrique rãmba tɩ b wilgd tõnda a yãnesgo a modɛlla. A tara bãnga.
LJ5012|tɩ-b yãk tẽngrã, metr, sãntimetr pistã.
LJ5013|Tɩ-b lʋg-lʋgɩ, tãas sãntɩmɛtɩr pɩs-tãabã tõnd na zoe n tɩ tʋko bok waa.
LJ5014|M paama zĩig n na n tɩ luglgi saaga ta ta ka ye. Tõnd haa n na n tɩ lugl bãnga, bɩ tõnd bao tiis sẽn pa waooge, pa lʋgnd tiig tẽngre, pa lʋgnd roog sɛɛg ye.
LJ5015|Tõnd baooda vɩʋʋgo n tɩgẽ n lug-lug bãnga, n tʋk bokã, sãn-tɩ-metra.
LJ5016|Saag hãa ni, A hãa ni wa yʋng a n vẽe-beogo, bɩ tõnd hãta wɩtɛɛra, bɩ tõnd kẽng n tɩ gɩs koomã a yãnesi modell na ningee.
LJ5017|delete
LJ5018|DõK a yooda ne tõnd waoogã yagre. Pĩnde tõnd hãa da paam koom yã zag-zagbala, yã fo tɩ yit tɩ saagã hãa da zãma tãmpã wa.
LJ5019|yẽ yaooda mẽng waoga ne tondo. Dõnk woto runda-runda wã, tond miimɛ ti tond paama zu-noogo.
LJ5020|Tɩ wa saagã hãa ni tɩ tõog n wa paam dɩsg bala. Mɩɩme tɩ tõnd rɩk bãn-bu-loondĩng tẽnga.
LJ5021|rũndo rahma tãabo, hal tɩ saag wa. Bi rũndo rahmã yopoe baa saag pa wa.
LJ5022|delete
LJ5023|Ka la tõnd na yalse, d Kota Wẽnnaam tɩ Wẽnnaam gãlg tõnd zamaanã bãane, yãmb ne maam wẽnna zãaG tõnd ned kãmb fãa ne m bõn-yɛng gʋsgo.
LJ5024|delete
LJ5025|delete
LJ5026|Yãmb ba-Katolik Krista tẽed baas n sogend tẽeb so-togse ?
LJ5028|Zĩisi, la teeda buud toor-toore, la b sẽn maanda, b luglga Burkina Faso ka ne yaa deux mille vingt un wa yʋʋmde.
LJ5029|Kom-y-biis buud toor-toore, n paam bãngre rasma tãa pʋgẽ sẽn kẽed ne no-kẽnda ka tɛk rɩk reeg zabra ne wakata tõeng zulẽ yɛngẽ. N tɩ yɩɩda b bãngrã põongã ra tɩka b sõmb bʋʋnde tɩ "justice climatique", tɩ d na tɩ bãngã võorã.
LJ5030|Zistis klimatik ya wab hãa n dɩk makre, yam nem tɩ runda wã tẽngã wĩndame.
LJ5031|Rũnda rũnda wa tõnd neeme tɩ jeunes dãmba b yikame n kẽnda, tẽngã wɩngdame, teedã teemdame, n na la b boond tɩ "changement climatika". Tɩ jeunes dãmba yikdẽ n maand-b na maane tɩ taood dãmba yãk decision n na yɩl n sõng nin-buiidã tɩ-b vɩɩm a yɩ sõngo.
LJ5033|N winig n tãoogã na n ye, na kẽnemdã nengãe, n Tɩ wẽ neda, fo kãn deng pa daole.
LJ5034|Kitam tɩ walã mois de novembra, ne decembra, bala mam bee minihtɛɛra pugɛ, mam mii yɛla.
LJ5035|Toin wã kõ sor, la vɩʋʋga pa le be n na n sɛgle. Tõnd n sɩng seglga novembre-decembre.
LJ5036|Mam menga gulsa minihrã n yeela, ye n yib Ghana wã U-vingt wã n wa ne medaille de bronze ta IB , naaba seg tõnd a, kamb pii-la-a-ye.
LJ5037|delete
LJ5038|Ren tʋu le neufa, tond ween Guinée deux-un. M paam sore, na kẽng troisième tour.
LJ5070|delete
LJ5088|delete
LJ5089|delete
LJ5094|delete
LJ5095|delete
LJ5097|delete
LJ5118|delete
LJ5133|delete
LJ5142|delete
LJ5144|delete
LJ5153|delete
LJ5160|delete
LJ5184|delete
LJ5185|delete
LJ5191|delete
LJ5192|delete
LJ5212|Taama ne farande, yaa ka-rɩte. La bãng bɛda yʋʋra woto n wã, yaa vɩtelaar-yaa paradogsa.
LJ5214|delete
LJ5216|delete
LJ5248|delete
LJ5253|delete
LJ5255|delete
LJ5291|delete
LJ5322|delete
LJ5324|delete
LJ5367|delete
LJ5370|delete
LJ5374|delete
LJ5379|delete
LJ5380|delete
LJ5382|delete
LJ5426|delete
LJ5433|delete
LJ5435|delete
LJ5466|delete
LJ5468|delete
LJ5472|delete
LJ5488|delete
LJ5490|delete
LJ5492|delete
LJ5518|delete
LJ5519|delete
LJ5521|delete
LJ5524|delete
LJ5536|delete
LJ5537|delete
LJ5539|delete
LJ5553|delete
LJ5554|delete
LJ5573|delete
LJ5575|delete
LJ5579|delete
LJ5586|delete
LJ5583|delete
LJ5588|delete
LJ5610|delete
LJ5611|delete
LJ5615|delete
LJ5637|delete
LJ5640|delete
LJ5664|delete
LJ5667|delete
LJ5669|delete
LJ5671|delete
LJ5672|delete
LJ5690|delete
LJ5712|delete
LJ5713|delete
LJ5717|delete
LJ5738|delete
LJ5184|delete
LJ5669|delete
LJ5715|delete
LJ5735|delete
LJ5740|delete
LJ5742|delete
LJ5764|delete
LJ5765|delete
LJ5766|delete
LJ5768|delete
LJ5774|delete
LJ5775|delete
LJ5777|delete
LJ5783|delete
LJ5789|delete
LJ5793|delete
LJ5795|delete
LJ5810|Wala rũnda yibeoogã, tõnd yãka d yam n wa be, grup-skolɛɛr, baah neere, n na n kõ karen-biisa sagl sẽn kẽed ne Epatɩt-be wa wɛɛngẽ. Tõnd gɛsame tɩ epatɩt-be wã, ya bãag sẽn be Burkĩna Faso ka ne, la dũniyã ween-viisa zãng fãag gɩlle, n namhd nimbuiidã. Burkĩna ka waa…
LJ5821|delete
LJ5822|delete
LJ5825|delete
LJ5838|delete
LJ5839|delete
LJ5842|delete
LJ5843|delete
LJ5882|delete
LJ5894|delete
LJ5922|delete
LJ5923|Tond na n puus-y la ne y wototoone wend la d dasma  jiibu, y waoong tond kibae wa wakat puga. Yamb bee burkina faso, y bee zamaan zeng n dik-d tondo, puusma jaa puus Yenga.
LJ5924|delete
LJ5947|delete
LJ5948|delete
LJ5952|delete
LJ5974|delete
LJ5976|delete
LJ5985|delete
LJ5986|delete
LJ6044|delete
LJ6047|delete
LJ6055|delete
LJ6056|delete
LJ6058|delete
LJ6060|delete
LJ6067|delete
LJ6068|delete
LJ6071|delete
LJ6072|delete
LJ6136|delete
LJ6137|delete
LJ6139|delete
LJ6144|delete
LJ6145|delete
LJ6147|delete
LJ6151|delete
LJ6152|delete
LJ6155|delete
LJ5764|delete
LJ5976|delete
LJ6186|delete
LJ6187|delete
LJ6188|delete
LJ6191|delete
LJ6248|delete
LJ6249|delete
LJ6278|delete
LJ6279|delete
LJ6281|delete
LJ6330|delete
LJ6332|delete
LJ6350|delete
LJ6351|delete
LJ6352|delete
LJ6370|delete
LJ6371|delete
LJ6385|delete
LJ6386|delete
LJ6399|delete
LJ6400|delete
LJ6401|delete
LJ6402|delete
LJ6438|delete
LJ6441|delete
LJ6496|delete
LJ6497|delete
LJ6500|delete
LJ6542|delete
LJ6543|delete
LJ6549|delete
LJ6550|delete
LJ6592|delete
LJ6593|delete
LJ6790|delete
LJ6791|delete
LJ6832|delete
LJ6835|Pas kee sind n ka gomdã, a wata ne waoor la fo tõe paam foo n dat bũmb ninga. Le b n modg n togs rao, t’a bãng tɩ yõo n togs maamã, mam yaa zakã soaba. La paga n wa ne gomd ning-wa yaa sɩda, A kɩt-t-dame tɩ fo tar ziir. Naaba, a sã n dɩk makr walã tʋʋm baobo, yãmb miim tɩ tara yʋʋmã. B tẽ wã baooda yʋʋmd n ye tɩ, tʋʋmd n ye tɩ aja sẽn taa yʋʋm pɩsnaas pa ye tõe n bao tʋʋm-kãensã ye.
LJ6896|delete

LJ7038|delete
LJ7041|delete
LJ7055|delete
LJ7088|delete
LJ7160|delete
LJ7275|delete
LJ7523|delete

LJ7500|delete
LJ7501|delete
LJ7502|delete
LJ7503|delete
LJ7504|delete
LJ7505|delete
LJ7506|delete
LJ7507|delete
LJ7508|delete
LJ7509|delete
LJ7510|delete
LJ7511|delete
LJ7512|delete
LJ7513|delete
LJ7514|delete
LJ7515|delete
LJ7516|delete
LJ7517|delete
LJ7518|delete
LJ7519|delete
LJ7520|delete
LJ7521|delete
LJ7522|delete
LJ7523|delete
LJ7524|delete
LJ7525|delete
LJ7526|delete
LJ7527|delete
LJ7528|delete
LJ7529|delete

LJ7530|delete
LJ7531|delete
LJ7532|delete
LJ7533|delete
LJ7534|delete
LJ7535|delete
LJ7536|delete
LJ7537|delete
LJ7538|delete
LJ7539|delete
LJ7540|delete
LJ7541|delete
LJ7542|delete
LJ7543|delete
LJ7544|delete
LJ7545|delete

LJ7546|delete
LJ7547|delete
LJ7548|delete
LJ7549|Teeg tagsga zĩgẽ, a Ladji Zida Boubacar Sid Naaba gomda nẽ tõndo, b yetame tii pagbã sã n da nagasdẽm la b nedẽmda.
LJ7550|yẽnda soaba la woto. Dẽn a Ladji Zida Boubacar Sid Naaba yɛlame tɩ pagba sã n da nagasdẽm lame, b nedẽmda.
LJ7551|La rũnda yibeoogã tagsga. Den a Ladji Zida Boubacar Sid Naaba.
LJ7553|delete
LJ7554|delete
LJ7555|delete
LJ7556|delete
LJ7557|den yel-bũnda ne tagsga la wotoonẽ m saam-bɩsi yaa Konfo-king n yaagd tõndo.
LJ7558|B wilgame tɩ sodaasã piig la a naase, la b kũu yã, sãn-pogba yaa bãmb b yopoe.
LJ7559|Yelame tii yã wã le yaa sũ-sãmse, n kõn sodaasã ne Burkinã fãso gilli.
LJ7560|Yaa bõe n maane, sodaas pɩla a naase tõre, n leb n lʋɩ sodaas a yopoe...
LJ7561|M paam sã pogba, yɩɩ tẽne wa daare yibeoog pĩnda, Octobr-a kuig rasem a naase 2021 wã.
LJ7562|Sẽn tʋu nen tãn-soogd-sõds sẽn tiig n wẽe yirgu, sodaasã zak ningẽ sẽn be bẽenẽ wã.
LJ7563|Yaa tẽngã sẽn be Bassalg commune wã, Sanema tẽng provincẽ wã région du centre nord wã.
LJ7564|delete
LJ7565|B sõor a yi wʋsgoo tɩ b wã ne motos rãmba, tõd beoog wakata nũ wa sasa.
LJ7566|La blendé a yembr sẽn yaa tɩ b Cobra mẽ, la b yõong ziga pʋgẽ beene.
LJ7567|La n tʋ ne mooneg koɛɛsẽ yii sã ya ne wĩnd kɩdgrã sasa, tẽnẽ wa daare zabr Octobre kuig rasem a naase 2021.
LJ7568|La sodaasã me wĩngame tɩ b sɩd yaa sodaas tɛke. Tɩ b yikame n na n kẽ maoora pʋgẽ na n zab ne-ba.
LJ7569|delete
LJ7570|Y na n mikame tãn-soogd-sõds sonr sẽn ta piiga, me la b kʋ-yã. Sẽn tʋu ne sodaasã, a ne sodaasã sõangdba sẽn yaa V.D.P rãmba.
LJ7571|Sã n na n kʋba, Pube-Bengao commune wã, yaa Soum provincẽ wã, Sahel soolmẽ wa.
LJ7572|delete
LJ7573|La yeelame tɩɩ yell kãnsã fãa gill kɛpi, mẽ, maana sãn ya ne Markoẽsa yell soolmẽ wã. La arzũma octobre kiug pɩpɩ wã.
LJ7574|La ya sẽn tũ nẽn sɩlgã sẽn yik yĩngri, n kellẽ mik ba Mansila soolm wã, tɩ b na n kell n waag beenẽ n zãgs-ba, zĩnd yĩngri n zãgs-ba, tɩ b fãa gill kɛpi kellẽ n suug wotoonẽ.
LJ7575|Tusã b goeela n kõ a Bala Alassane Sakandé. Yɩɩ zaamẽ, la tʋm kanga me tʋm ya.
LJ7576|Yelame tɩɩ, M.P.P président paalgã, a Alassane Bala Sakandé.
LJ7577|Yelame tɩ, tʋm-kãngã maana zaamẽ tẽnẽ wã octobr-a kiug rasema naase, 2021 wa, parti wa zak kãseng wã. Ya bãmb n lega Simon Compaoré...
LJ7578|delete
LJ7579|Tɩ yaa sẽn tũ ne congrès a yiib n soaba, sẽn ya congrès tigr n parti wa sẽn maane, septembre kiug rasem pisi la a naase, pisi la a nu, la pisi la a yoobe sẽn loogã.
LJ7580|Yaa sẽn na yilẽ n tek taab goela, président yitgã, a ne président kẽedgã, la yɩ zaamẽ tẽnẽ wã la tʋm kãngã tʋm yã.
LJ7581|delete
LJ7582|Yelame t'a wa n wa wakata ninga tẽnga, sẽn be ne tẽng-soab-sobs zabr waeengẽ ne Covid-19 fa zabr waeenge.
LJ7583|den, a yeelame tɩ pa sekẽ meng goam la m gomde, yaa bũmb sẽn yaa vẽenega. Mãm sũur nõoma wʋsgoo.
LJ7584|Yamb mẽnga yaame tɩ tʋʋmdã. Ned fãa kelen n yãsẽ zĩigẽ, tɩ sũur noome. Ad yaa wotoonẽ la tõnd data, n maan politikã tɩ tõnd poorẽ dãmba, ne tõnd yoapa bãng tɩ politikã yaa wotoonẽ kaye. zuloese pa be politikã pʋg ye. Ya woto la Simon Compaoré kẽng taoor n tɩ togse.
LJ7585|Yelame tɩ rũnda-rũnda président wa Roch Marc Christian Kaboré, bãmb yɩ pa...
LJ7586|Tɩ [ehhh ehhh] yĩn miim bala, tɩ tʋʋm ninga bãmb sẽn tiusg wotoonẽ wã, a ya tʋʋm sẽn na paam pidsgu.
LJ7587|a leb n na n pʋʋsa parti wa direction wa fãa gil kɛpi, ne ta parti ta biisa fãa gil kɛpi.
LJ7588|sẽn wa n tɩ sulg n tik yẽnda, a Bala Alassane Sakandé, tɩ b na n lʋɩ parti wa taoor-a.
LJ7589|M na n kellẽ n tik a mam kassam dãmba zugu, la m tik mam yoapa, pagba, nin-kẽemse sẽn be parti wa pʋga. Na yɩlẽ tɩ tɩ mam tʋʋm ninga mam sẽn tʋmd-a woto wa tõog n yi sõmbo.
LJ7590|N nayili, tɩ d mao tɩ vot-a sẽn wat wotoonẽ wa biid wilgi, tɩ d ket n bee d yasrẽ la d ket n yaa parti ninga sẽn wildi n wa tɩ yiid parti rãmba fãa.
LJ7591|Yelame tɩ ned ba a yembr pa kõngẽ, ned ba a yembr pa paam. Ya M.P.P n paame.
LJ7593|delete
LJ7594|N kɛlã n pʋg tʋʋmdã, yaa bãmb n na n wa zugl-a Claire Zoungrana, bãmb n na n dik koeesã n gill n kõ tõnd kaanẽ tɩ d wʋma võore.
LJ7595|Sɛ-kãngã yaa sẽn na yɩlẽ, n dɩk waoore buud toor-toore, n taas ne ning sẽn modgd-bã, tẽngã na mi n kẽng taoor-a. Neb sõor yi wʋsg n paam waoor kũun toor-toore, wala Issouf Nikiema sẽn yaa Député Maire n kõt Komsilg commun-a.
LJ7596|Yelame tɩ yaa sẽn wẽn naa bugs nebã, sẽn tudg sore n wa Kossyam sẽra zakã sẽn.
LJ7597|delete
LJ7598|La, nem-buiidã kẽn rabeem pʋgẽ, tɩ nebã sokd n gete, yaa bõe n maane tɩ bug-raad wẽedẽ wakat kãngã? La sãa ya ne tõnd kibaye kitba tõnd a minite.bf rãmba, tõnd sẽn paam vẽenem wilgame tɩ yaa wẽn naa bʋgs nebã.
LJ7599|N da be mobil pʋga, la a b rãmba tudga sore n wat Kossyam sẽn ya na-zakã. Rẽnd yaa rẽ kɩt tɩ, tɩ yũ gũudbame, bãmba na n tõog n wẽn bugs rãmba wotoonẽ.
LJ7600|La yeelame tɩ d sã na n gese, nimbamba yaa neba, yaa sãamse, ba Burkina Faso neba, la b sẽn da be mobillã pʋgẽ, b ra lebg moasã n wat b zakẽ, b zakame be zĩig ninga Ouaga deux-mille. La b wã lebg na n kẽ b zakẽ wã ya.
LJ7601|Tõnd tõe n wilgame tɩ non-lotis rãmba Burkĩna Faso, a zãaba pa sõmb ye. Rẽname tɩ b lebge, n gese. B wilgame tɩ neb ninsã n vɩɩda non-lotis rãmba pʋsẽ.
LJ7602|Tii zĩnsa ramb me sẽn lebg bãmb n so bũmb mosa, promotteur immobilier ramba sã n ta, lebg bãmb n taab n wʋmd taaba, n tõg n kõ b zĩnsa tɩ bãmbã tʋʋmdẽ. Yã wa kɩtame tɩ l'Etat pa leb n tõe n kes a tog woto tʋʋmda pʋg ye. A wilgdame...
LJ7603|delete
LJ7604|delete
LJ7605|delete
LJ7606|delete
LJ7607|delete
LJ7608|delete
LJ7609|delete
LJ7610|delete
LJ7611|delete
LJ7612|delete
LJ7613|delete
LJ7614|delete
LJ7615|delete
LJ7616|delete
LJ7617|delete
LJ7618|delete
LJ7619|delete
LJ7620|delete
LJ7621|delete
LJ7622|delete
LJ7623|delete
LJ7624|delete
LJ7625|delete
LJ7626|delete
LJ7627|Argile Santé PDG wa, Monsieur Oubda Oumarou.
LJ7628|delete
LJ7629|delete
LJ7630|delete
LJ7631|delete
LJ7632|delete
LJ7633|delete
LJ7634|delete
LJ7635|delete
LJ7636|rẽnde m sãam bɩsa fãa zãng kɛpi, yaa sɛb nins sẽn kɛt tõnd nug n la wotoonẽ. sɛb nins sẽn kẽ roogã pʋg-a, la wotoonẽ yaa ne wama zʋd kʋɩɩs la da rɩk n pɩt ne yãmba, masa wã m sãam bɩsa sɩd na n kaooga ne gom bilfa tɩ paam yel-bũnd ne tagsgo, a Ladji Zida Boubacar Sid Naaba sẽn kõt d runda.
LJ7637|rẽnde, Alfonse Ouédraogo rũnda yibeoogã d na le tẽegame tɩ y Konfo King a sõngdame, yaagdame, pakdame. Rũnda yibeoogã yel-bũndã a Ladji Zida Boubacar Sid Naaba, b wilgdame tɩ raoa.
LJ7638|Wakat fãa yẽ tʋʋmde, y manegd a bũmb ning fãa, yẽ menga n pasame la ra pʋgd a manegdẽ. Dẽnda yaa yam tʋʋm la wotoonẽ, bũmba fãa mi tɩ m yam tẽem la. Dẽnda b wilgdame tɩ rao wẽnda wa mécanicien yẽ wakat fãa...
LJ7639|A yaa wala sorẽ yaa so-salse, tɩ politicien buudã fãa segd n gũus a menga. Bala, a pa zare, a pa welge ne waafẽ wẽneg n kẽeda meng zʋʋr ye.
LJ7640|B kẽnga taoor n tɩ wilg tɩ, adem-biisa fãa yaa samba tẽng zugu.Wala, Adam ne Awa...
LJ7641|delete
LJ7642|delete
LJ7643|delete
LJ7644|delete
LJ7645|delete
LJ7646|delete
LJ7647|B yeelame tɩ pipi, sodaas ninsa, sɩd mane kaalmã, pipi tõe n yãame, yaa wala a Boyina Arouna bãmb yaa sergent chefe, n le paasẽn, a Bamogo Moumouni bãmb ya b sẽn bonde tɩ sergent wa.
LJ7648|N le pasd me, yaa Foro Léon Anicet.
LJ7649|La a Kassamba Ibrahim, yaa soldat de première class-é.
LJ7650|A Diasso Abdul Wahab, soldat de première class-é.
LJ7651|[ehhh] A Ouédraogo Abdoul Zaidi, yaa deuxième class-é.
LJ7653|Sũ sãanga wotoonẽ, yi octobr-a kiug rasma a nasa, Yirgou, la yel-wẽnda hãn maan wotoonẽ wa. La d sã n na n gese sɩda, yão wã ya tãn-sobã soodsã n lem tʋmẽ, sãan ya ne yel-wẽnda wotoonẽ.
LJ7655|N yaa tõnda, sari wa tʋʋmda. A sã n da kẽnd tõta wa...
LJ7656|delete
LJ7658|delete
LJ7659|delete
LJ7660|delete
LJ7661|delete
LJ7662|delete
LJ7663|delete
LJ7664|delete
LJ7665|delete
LJ7666|delete
LJ7667|delete
LJ7668|delete
LJ7669|Noosm ninga sẽn bee a be ti fo yũud ti noom fooma. Noosm kãng menem da zĩig pʋgẽ.
LJ7670|delete
LJ7671|nãn yilẽ tɩ ned fãa hãn wã be a lebg tɩ a sũurã nõome tõnd yelame.
LJ7672|Tõnd na modgame tɩ ned wo, ned hãn wã be. Nan kẽ. Beẽ soab paam noor parfum.
LJ7673|Laa y d na goma a mogã puissant wã yelle.
LJ7674|M nan goma femme clean-a yelle. Bala tõnd wa maan moga puissant wa pagbã sokame n gese, fo yima tõnd yell la?
LJ7675|delete
LJ7676|delete
LJ7677|delete
LJ7678|Avant sẽn gom bilf tɩ loogã tɛk menga. Ne yẽ ka maan organise da wã. Appels dãmba m yella la me...
LJ7679|Yam nan zĩnda Kazadi show wa? man yell ti m zĩndame. yãmb gom produit ninga yella, tõnd na wa yẽnda lame. La bãngẽ ti a Kazadi supporters dãmba.
LJ7680|delete
LJ7681|delete
LJ7682|delete
LJ7684|delete
LJ7685|delete
LJ7686|D pẽgda Wẽnnaam wʋsgo. Bala d nan ka paam nedẽ yell tɩ a ka zems ne a ye.
LJ7687|kitame tɩ tõnd tʋʋl n pakẽ n pags zĩisi. Tõnd datame n na paase n ta wa zĩis pɩɩ wogdg la d zoe n paasa n ta zĩis a tãabo, na yɩlẽ n pẽneg-pẽneg...
LJ7688|delete
LJ7689|delete
LJ7690|delete
LJ7691|delete
LJ7692|delete
LJ7693|Bon, [ehh] wʋsga fãa tʋʋmda b neb tub wa, bala comme procedur-a.
LJ7694|delete
LJ7695|A kẽnda Allemagne, a kẽnda, Italie ye la d ka tõe n goma. La sorã, soyã na pagã na kitam tɩ n watẽ n dadba b ka raad wʋsgo ye.
LJ7696|Fãa tʋmdame tʋb watẽ commandẽ. Donc tõnd tagsdame tɩ...
LJ7697|delete
LJ7698|delete
LJ7699|delete
LJ7700|delete
LJ7701|delete
LJ7702|B kibar menga n yoob école. Kẽbr zĩnda be mẽng, n yao écola n da écola sɛbe n sã, n da widi.
LJ7703|delete
LJ7704|delete
LJ7705|delete
LJ7706|delete
LJ7707|Alors que noor wʋsgo, mi yetame ti école kambã, b ka nõng tʋʋma, b ratame bala na n teeg b roagdbã n dɩtẽ.
LJ7708|delete
LJ7709|delete
LJ7710|La man mansã wotoonẽ wã, b sẽn be poste ninga wã. Bada ye wa waame n da ka tarẽn permis ye, man mansã wotoonẽ wã a wenda mobili.
LJ7711|delete
LJ7712|delete
LJ7713|delete
LJ7714|delete
LJ7715|Donc ned sãn wa yeel t\'a ka sui tɩ yaa tʋʋm n ka be. A ya muinaafɩɩka.
LJ7716|delete
LJ7717|Bon, koɛɛga ka na ye wʋsgo ye. Neba na pɩd pʋʋga mo-yẽem pa sãmba ye. La sã wa pa fãa ka na maana bãng ye.
LJ7718|delete
LJ7719|ka-sokd Kazadi mẽnga boolame n yete ye, yĩnna linga neba ne yɛla.
LJ7720|delete
LJ7721|delete
LJ7722|delete
LJ7723|delete
LJ7724|Tɩ sãn data y tõe n tola whatsapp wa yãmb dat koeg ninga. Sãn data y tõe n boolame.
LJ7725|delete
LJ7726|delete
LJ7727|delete
LJ7728|delete
LJ7729|delete
LJ7730|delete
LJ7731|delete
LJ7732|delete
LJ7733|delete
LJ7734|delete
LJ7735|delete
LJ7736|delete
LJ7737|B sokame n na n ges ye, yaa bõe la tõnd ninsablã zamaan n taood dãmba pʋlẽ tɩkã na n wã ne vẽeneg yel-kãngã pʋga? Sebr ninga n wã zĩigẽ sokra sokg toonẽ wakat kãngã.
LJ7738|delete
LJ7739|Tɩ ad yaa wakat ninga, sãe ne fãa rãmb me sẽn dat n kell n gãde, b raabã tõnd n sabl n zamaan wakatẽ. Wakat kãngã tãamã de Soor wʋsẽ ya kibar-kɩta, sabã ne fãe m ka ne sebr neng a yib zĩig yeelame.
LJ7740|delete
LJ7741|delete
LJ7742|delete
LJ7743|delete
LJ7744|delete
LJ7745|delete
LJ7746|delete
LJ7747|Wakat-kãng tɩ bilgame t\'a alfa Oumar Disa, ministre kodga ad bãmba n lebg SONABHY taoor soaba, rẽnda b lebga DG woto ne.
LJ7748|delete
LJ7749|Adee, buudã na n maaname, la a Blaise Compaoré yẽ pa na wa zĩndi, buudẽ wã ye. Ne ya l'Observateur Paalga sebra ne wamda zugu.
LJ7750|delete
LJ7751|Chef d'état major général paalga foto, b be sebrã ne wamdã zugu.
LJ7752|delete
LJ7753|A Zã paul Sawadogo n yaa koob na-kʋdgã, a dã maana kaalem, sebr nengã nu zĩigẽ b lebg n wa yel-kãngã zugu.
LJ7754|delete
LJ7755|delete
LJ7756|delete
LJ7757|delete
LJ7758|Tɩ tẽes sã n yɩɩd fo, a yɩɩd-f lame. D hã n yɩɩg fo, a yɩɩg-f lame. Ne a bũmb fãa.
LJ7759|delete
LJ7760|Tẽng sãn wa sondr no-raoogo, bɩ a gũus a menga.
LJ7761|delete
LJ7762|delete
LJ7763|delete
LJ7764|delete
LJ7765|delete
LJ7766|delete
LJ7767|delete
LJ7768|delete
LJ7769|delete
LJ7770|delete
LJ7771|delete
LJ7772|delete
LJ7773|delete
LJ7774|delete
LJ7775|delete
LJ7776|delete
LJ7777|delete
LJ7778|delete
LJ7779|D na n pʋsa malɩ nin-buiidã barka. Pʋʋs-b bark n pʋʋs-b bark n yɩlem tɩ bõe? Mali nin-buiidã...
LJ7780|B puka Afrika kambã fãa ne buiid n paas. Malɩ wã ne a Moore, ra ten yelame tɩ yembe.
LJ7781|delete
LJ7782|delete
